Name,Paraffinic CH3,Paraffinic CH2,Paraffinic CH,Olefinic -CH=CH2,Naphthenic CH-CH2,Aromatic C-CH,Alcoholic OH,Ether O,Aldehydic CHO,Ketonic CO,Ester COO,MW,BI,FP,Predicted FP
1-ethyl-2-methylcyclohexane,23.80952381,11.11111111,0,0,65.07936508,0,0,0,0,0,0,126,0.5,304.9,304.35
"1,1,2-trimethylcyclohexane",35.71428571,0,0,0,64.28571429,0,0,0,0,0,0,126,0.833333333,298.2,301.05
"1,1,3,3-tetramethylcyclopentane",47.61904762,0,0,0,52.38095238,0,0,0,0,0,0,126,1.166666667,290.9,293.15
1-tert-butyl-1-cyclohexene,32.60869565,0,0,18.11594203,40.57971014,0,0,0,0,0,0,138,1.166666667,300.9,301.34
Cis-decalin,0,0,0,0,100,0,0,0,0,0,0,136,1,330.8,336.26
1-pentylcyclopentene,10.86956522,40.57971014,0,18.11594203,30.43478261,0,0,0,0,0,0,138,0.5,324.3,322.57
butylcyclohexane,10.71428571,30,0,0,59.28571429,0,0,0,0,0,0,140,0.5,321,322.51
decylcyclopentane,7.142857143,60,0,0,32.85714286,0,0,0,0,0,0,210,0.5,404,398.09
benzene,0,0,0,0,0,100,0,0,0,0,0,78,1,262,264.46
toluene,16.30434783,0,0,0,0,83.69565217,0,0,0,0,0,92,1,277,279.61
styrene,0,0,0,25.96153846,0,74.03846154,0,0,0,0,0,104,1,304,305.56
ethylbenzene,14.1509434,13.20754717,0,0,0,72.64150943,0,0,0,0,0,106,1,294,292.53
"1,3-dimethylbenzene",28.30188679,0,0,0,0,71.69811321,0,0,0,0,0,106,1.166666667,298,302.33
"1,4-dimethylbenzene",28.30188679,0,0,0,0,71.69811321,0,0,0,0,0,106,1.333333333,298,301.57
"1,2-dimethylbenzene",28.30188679,0,0,0,0,71.69811321,0,0,0,0,0,106,1,305,303.08
Isopropenylbenzene,12.71186441,0,0,22.03389831,0,65.25423729,0,0,0,0,0,118,1.333333333,327,326.38
cyclopropylbenzene,0,0,0,0,34.74576271,65.25423729,0,0,0,0,0,118,1.5,316.9,320.35
"1,2,3-trimethylbenzene",37.5,0,0,0,0,62.5,0,0,0,0,0,120,1.5,317,323.17
"1,3,5-trimethylbenzene",37.5,0,0,0,0,62.5,0,0,0,0,0,120,1.666666667,323,322.41
1-ethyl-2-methylbenzene,25,11.66666667,0,0,0,63.33333333,0,0,0,0,0,120,1,312.4,314.61
propylbenzene,12.5,23.33333333,0,0,0,64.16666667,0,0,0,0,0,120,1,303,309.22
isopropylbenzene,25,0,10.83333333,0,0,64.16666667,0,0,0,0,0,120,1.333333333,309,300.84
1-ethyl-3-methylBenzene,25,11.66666667,0,0,0,63.33333333,0,0,0,0,0,120,1.125,311,314.04
1-ethyl-4-methylBenzene,25,11.66666667,0,0,0,63.33333333,0,0,0,0,0,120,1.25,309,313.47
naphthalene,0,0,0,0,0,100,0,0,0,0,0,128,2,352,348.17
tetralin,0,0,0,0,42.42424242,57.57575758,0,0,0,0,0,132,1.5,350,331.82
Isobutyl benzene,33.58208955,0,0,0,0,57.46268657,0,0,0,0,0,134,1.666666667,328,334.36
"1,4-diethyl-Benzene",22.3880597,20.89552239,0,0,0,56.71641791,0,0,0,0,0,134,1.25,329.7,328.27
(1-methylpropyl)-Benzene,22.3880597,10.44776119,9.701492537,0,0,57.46268657,0,0,0,0,0,134,1.25,325,316.21
1-methyl-2-(1-methylethyl)-Benzene,33.58208955,0,9.701492537,0,0,56.71641791,0,0,0,0,0,134,1.25,323,324.57
1-methyl-4-propylbenzene,22.3880597,20.89552239,0,0,0,56.71641791,0,0,0,0,0,134,1.2,329.3,328.45
1-methyl-4-(1-methylethyl)-Benzene,33.58208955,0,9.701492537,0,0,56.71641791,0,0,0,0,0,134,1.5,320.2,323.27
"1-ethyl-2,3-dimethylBenzene",33.58208955,10.44776119,0,0,0,55.97014925,0,0,0,0,0,134,1.375,338,333.63
"1-ethyl-2,4-dimethylBenzene",33.58208955,10.44776119,0,0,0,55.97014925,0,0,0,0,0,134,1.5,330,333.05
1-methyl-2-propylBenzene,22.3880597,20.89552239,0,0,0,56.71641791,0,0,0,0,0,134,1,326,329.17
1-methyl-3-propylBenzene,22.3880597,20.89552239,0,0,0,56.71641791,0,0,0,0,0,134,1.1,325,328.81
"2-ethyl-1,3-dimethylbenzene",33.58208955,10.44776119,0,0,0,55.97014925,0,0,0,0,0,134,1.375,331,333.63
"2-ethyl-1,4-dimethylBenzene",33.58208955,10.44776119,0,0,0,55.97014925,0,0,0,0,0,134,1.5,329,333.05
"1,2,3,4-tetramethylbenzene",44.7761194,0,0,0,0,55.2238806,0,0,0,0,0,134,2,347,346.62
"1,2,3,5-tetramethylbenzene",44.7761194,0,0,0,0,55.2238806,0,0,0,0,0,134,2,344,346.62
"1,2-diethylbenzene",22.3880597,20.89552239,0,0,0,56.71641791,0,0,0,0,0,134,1,330,329.17
1-isopropyl-4-methylbenzene,33.58208955,0,9.701492537,0,0,56.71641791,0,0,0,0,0,134,1.5,320,323.27
"1,3-diethylbenzene",22.3880597,20.89552239,0,0,0,56.71641791,0,0,0,0,0,134,1.1,330,328.81
n-butylbenzene,11.19402985,31.34328358,0,0,0,57.46268657,0,0,0,0,0,134,1,332,326.91
tert-butylbenzene,33.58208955,0,0,0,0,57.46268657,0,0,0,0,0,134,1.666666667,333,334.36
1-Methyl-3-(1-methylethyl)benzene,33.58208955,0,9.701492537,0,0,56.71641791,0,0,0,0,0,134,1.375,323,323.92
1-methylnaphthalene,10.56338028,0,0,0,0,89.43661972,0,0,0,0,0,142,2,355,360.37
"1,2,3,4,5-pentamethylbenzene",50.67567568,0,0,0,0,49.32432432,0,0,0,0,0,148,2.167,364,366.59
1-methyl-4-tert-butylbenzene,40.54054054,0,0,0,0,51.35135135,0,0,0,0,0,148,1.75,364.1,359.30
(3-methylbutyl)-benzene,20.27027027,18.91891892,8.783783784,0,0,52.02702703,0,0,0,0,0,148,1.2,338,334.30
